상품명,가격,쇼핑몰,좋아요개수,이미지,리뷰수,스타일,카테고리,소재,색상,시즌,출시일
빈티지 청바지,"150,000",지그재그,1462,https://example.com/지그재그/image40.jpg,808,빈티지,원피스,울,블루,가을,2025-05-27
슬림핏 면바지,"149,000",지그재그,915,https://example.com/지그재그/image41.jpg,441,스포티,아우터,폴리에스터,그레이,가을,2025-03-06
슬림핏 맥시 원피스,"98,000",지그재그,651,https://example.com/지그재그/image42.jpg,171,클래식,원피스,니트,레드,겨울,2025-04-06
프리미엄 숏팬츠,"60,000",지그재그,1619,https://example.com/지그재그/image43.jpg,245,캐주얼,하의,린넨,블랙,봄,2025-05-18
오버핏 블레이저,"99,000",지그재그,997,https://example.com/지그재그/image44.jpg,498,클래식,상의,니트,블랙,여름,2025-03-27
클래식 후드,"86,000",지그재그,1707,https://example.com/지그재그/image45.jpg,661,모던,아우터,폴리에스터,화이트,봄,2025-04-15
슬림핏 자켓,"121,000",지그재그,736,https://example.com/지그재그/image46.jpg,654,스트릿,원피스,면,그레이,가을,2025-05-02
빈티지 숏팬츠,"148,000",지그재그,1599,https://example.com/지그재그/image47.jpg,995,미니멀,하의,린넨,레드,사계절,2025-04-23
빈티지 와이드팬츠,"111,000",지그재그,575,https://example.com/지그재그/image48.jpg,616,빈티지,아우터,실크,블랙,봄,2025-05-23
클래식 자켓,"37,000",지그재그,745,https://example.com/지그재그/image49.jpg,284,러블리,아우터,니트,블랙,여름,2025-03-31
