상품명,가격,쇼핑몰,좋아요개수,이미지,리뷰수,스타일,카테고리,소재,색상,시즌,출시일
클래식 니트,"158,000",더블유컨셉,2565,https://example.com/더블유컨셉/image31.jpg,797,캐주얼,원피스,면,블랙,사계절,2025-04-08
트렌디 숏팬츠,"333,000",더블유컨셉,1815,https://example.com/더블유컨셉/image32.jpg,426,러블리,아우터,폴리에스터,네이비,가을,2025-05-13
베이직 자켓,"366,000",더블유컨셉,213,https://example.com/더블유컨셉/image33.jpg,84,러블리,원피스,실크,카키,겨울,2025-04-16
빈티지 맥시 원피스,"290,000",더블유컨셉,1119,https://example.com/더블유컨셉/image34.jpg,674,미니멀,상의,폴리에스터,블루,겨울,2025-05-29
트렌디 블라우스,"114,000",더블유컨셉,2598,https://example.com/더블유컨셉/image35.jpg,470,빈티지,아우터,레이온,브라운,여름,2025-05-25
빈티지 점퍼,"170,000",더블유컨셉,2387,https://example.com/더블유컨셉/image36.jpg,663,미니멀,상의,폴리에스터,블루,가을,2025-05-09
빈티지 맨투맨,"373,000",더블유컨셉,1969,https://example.com/더블유컨셉/image37.jpg,520,캐주얼,하의,니트,화이트,봄,2025-04-12
클래식 티셔츠,"348,000",더블유컨셉,1948,https://example.com/더블유컨셉/image38.jpg,437,모던,하의,면,블루,가을,2025-04-27
빈티지 코트,"265,000",더블유컨셉,1489,https://example.com/더블유컨셉/image39.jpg,554,클래식,원피스,폴리에스터,블루,봄,2025-03-07
트렌디 블레이저,"197,000",더블유컨셉,1363,https://example.com/더블유컨셉/image40.jpg,588,러블리,원피스,니트,카키,봄,2025-05-21
슬림핏 패딩,"318,000",더블유컨셉,308,https://example.com/더블유컨셉/image41.jpg,796,미니멀,하의,니트,화이트,사계절,2025-04-16
빈티지 맥시 원피스,"390,000",더블유컨셉,1201,https://example.com/더블유컨셉/image42.jpg,152,스포티,하의,실크,블랙,여름,2025-05-11
프리미엄 맨투맨,"333,000",더블유컨셉,446,https://example.com/더블유컨셉/image43.jpg,660,스트릿,아우터,면,네이비,사계절,2025-04-15
슬림핏 셔츠,"385,000",더블유컨셉,1948,https://example.com/더블유컨셉/image44.jpg,153,클래식,원피스,레이온,네이비,가을,2025-04-23
프리미엄 블라우스,"377,000",더블유컨셉,366,https://example.com/더블유컨셉/image45.jpg,339,클래식,아우터,폴리에스터,블루,여름,2025-05-09
프리미엄 패딩,"191,000",더블유컨셉,411,https://example.com/더블유컨셉/image46.jpg,753,러블리,원피스,린넨,네이비,여름,2025-04-20
빈티지 셔츠,"106,000",더블유컨셉,1297,https://example.com/더블유컨셉/image47.jpg,943,모던,아우터,린넨,네이비,가을,2025-03-12
트렌디 니트,"219,000",더블유컨셉,998,https://example.com/더블유컨셉/image48.jpg,798,스트릿,아우터,레이온,그레이,사계절,2025-04-04
슬림핏 미디 원피스,"312,000",더블유컨셉,887,https://example.com/더블유컨셉/image49.jpg,327,빈티지,하의,울,레드,여름,2025-05-03
